|ID|translation
0|ID_18897661270129|{'dyu': 'A bi ji min na', 'fr': 'Il boit de l’eau.'}
1|ID_18479132727846|{'dyu': 'A le dalakolontɛ lon bɛ.', 'fr': 'Il se plaint toujours.'}
2|ID_18164131280307|{'dyu': 'Mun? Fɛn dɔ.', 'fr': 'Quoi ? Quelque chose.'}
3|ID_18344573728152|{'dyu': 'O bɛ bi bɔra fo Gubeta.', 'fr': 'Tous sortent excepté Gubetta.'}
4|ID_18127342282717|{'dyu': 'A ale lo bi da bugɔ la!', 'fr': 'Ah ! c’est lui… il sonne…'}
5|ID_18113952728392|"{'dyu': ""E nafa t'a ra."", 'fr': 'Et sans rapport.'}"
6|ID_17349291285068|"{'dyu': 'Sanu baa de bi n bolo', 'fr': ""J'ai suffisamment d'or.""}"
7|ID_18045793286189|{'dyu': 'Onhon mɛ laɲini jumanan', 'fr': 'Oui ; mais dans quel but ?'}
8|ID_17365482.72873|{'dyu': 'Kamele baba', 'fr': 'de grands gars forts.'}
9|ID_18626271288363|{'dyu': 'Duguden dɔ minɛ na.', 'fr': 'Un civil a été capturé?!'}
10|ID_17838624729012|{'dyu': 'Sigi yɔrɔ dɔ', 'fr': 'D’autres chaises.'}
11|ID_17545233729132|{'dyu': 'Surukuwuru binaani ni mugan.', 'fr': 'Quarante-sept renards.'}
12|ID_18588255292452|{'dyu': 'Jɔn le ka ɲigɛn ni fa?', 'fr': 'Qui a bouché les toilettes?'}
13|ID_18771168293544|{'dyu': 'Awɔ aw be n gwɛnna?', 'fr': 'Alors, vous me chassez ?'}
14|ID_17358766294672|"{'dyu': 'Livru nin kadi nn ye', 'fr': ""j'aime ce livre.""}"
15|ID_18056296295783|{'dyu': 'A be bɔ a kɔnɔ', 'fr': 'Elle sort par le fond.'}
16|ID_18562693296877|{'dyu': 'Kulɛr sabani sa.', 'fr': 'Achète les trois couleurs.'}
17|ID_17408710297971|"{'dyu': 'N filila.', 'fr': ""J'ai fait une erreur.""}"
18|ID_18330079729949|{'dyu': 'Jona fɛnɛn tɛ.', 'fr': 'Surtout pas trop tôt.'}
19|ID_18065183300677|{'dyu': 'A be nne fana lasiran.', 'fr': 'Et moi, ça me fait des peurs…'}
20|ID_18053308730204|{'dyu': 'Ni bonni kaɲi dɛ.', 'fr': 'Quelle jolie maison !'}
21|ID_18091615303226|{'dyu': 'A bɔra la.', 'fr': 'Il s’en est tiré.'}
22|ID_17452572304394|{'dyu': 'Jɔn le ka kuran faga ?', 'fr': 'Qui a éteint la lumière ?'}
23|ID_18828129730554|{'dyu': 'A te seka kè ka tèmè ni kan', 'fr': 'Il ne peut pas faire plus.'}
24|ID_19424558730663|{'dyu': 'a be faransi', 'fr': 'Il est présent en France.'}
25|ID_19684032307818|{'dyu': 'A tun be basikɛti zuela.', 'fr': 'Il pratiquait le baseball.'}
26|ID_18863346309175|"{'dyu': ""Fama k'a kun wili"", 'fr': 'Le commissaire lève la tête.'}"
27|ID_18438803310438|{'dyu': 'An bi na don suu fɛ', 'fr': 'Nous rentrerons dans la nuit.'}
28|ID_18021338731152|{'dyu': 'I ka kɛ ka ɲɛ tuguni.', 'fr': 'T’as encore bien fait…'}
29|ID_18350625312727|"{'dyu': ""N t'a fɛ."", 'fr': 'Je ne veux pas !…'}"
30|ID_17364833314045|{'dyu': 'An siranna.', 'fr': 'Nous avions eu peur.'}
31|ID_17353731731516|{'dyu': 'Zuɛri binaani.', 'fr': 'Une vingtaine de joueurs.'}
32|ID_18469703316234|{'dyu': 'A ka kan ka Maloya san!', 'fr': 'Vous devriez avoir honte.'}
33|ID_17341383731731|{'dyu': 'Nɛnɛ be yi', 'fr': 'le temps est froid.'}
34|ID_17333168318392|"{'dyu': 'Jii be yi', 'fr': ""Il y a de l'eau ?""}"
35|ID_17368445325318|{'dyu': 'a lɔni le', 'fr': 'elle est debout.'}
36|ID_17359315326574|{'dyu': 'I be bolora bara juman le kɛra', 'fr': 'Quel métier faites-vous ?'}
37|ID_18487324327714|{'dyu': 'Deni ɲakisɛ ye bulalaman ye', 'fr': 'Cet enfant a les yeux bleus.'}
38|ID_18021720329206|{'dyu': 'A kɛ cogo le', 'fr': 'C’est l’habitude.'}
39|ID_18419287330596|{'dyu': 'Nin bɛ be tumadɔ tan', 'fr': 'Tout cela demande du temps.'}
40|ID_19283262.73319|"{'dyu': ""Muso kuma le kad'a ye."", 'fr': 'La femme est son sujet favori.'}"
41|ID_19469027733304|{'dyu': 'Ni tununa.', 'fr': 'Celle-ci a disparu.'}
42|ID_17976495334116|"{'dyu': 'Ta ka bɔ yɔrɔ ni nan n bi nana fani don.', 'fr': ""Va-t'en, je vais m'habiller.""}"
